Statistical profiling result from isolate-con-v8.log, (2432 ticks, 14 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     34    1.4%          /usr/lib/system/libsystem_kernel.dylib
     21    0.9%          /usr/lib/system/libsystem_malloc.dylib
     13    0.5%          /usr/lib/system/libsystem_c.dylib
     12    0.5%          /usr/lib/libc++.1.dylib
      5    0.2%          /usr/lib/system/libsystem_platform.dylib
      4    0.2%          /usr/lib/system/libsystem_pthread.dylib
      3    0.1%          /usr/lib/system/libdyld.dylib

 [JavaScript]:
   ticks  total  nonlib   name
      6    0.2%    0.3%  LazyCompile: *resolve node:path:1091:10
      4    0.2%    0.2%  LazyCompile: *stylizeWithColor node:internal/util/inspect:521:26
      3    0.1%    0.1%  LazyCompile: *normalizeString node:path:66:25
      3    0.1%    0.1%  LazyCompile: *inspect node:internal/util/inspect:286:17
      2    0.1%    0.1%  LazyCompile: *writeOrBuffer node:internal/streams/writable:365:23
      2    0.1%    0.1%  LazyCompile: *value node:internal/console/constructor:257:20
      2    0.1%    0.1%  LazyCompile: *onwrite node:internal/streams/writable:425:17
      2    0.1%    0.1%  LazyCompile: *formatWithOptionsInternal node:internal/util/inspect:1891:35
      2    0.1%    0.1%  LazyCompile: *formatWithOptions node:internal/util/inspect:1883:27
      2    0.1%    0.1%  LazyCompile: *emit node:events:340:44
      2    0.1%    0.1%  LazyCompile: *afterWrite node:internal/streams/writable:487:20
      2    0.1%    0.1%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
      2    0.1%    0.1%  Function: ^get node:net:1706:6
      2    0.1%    0.1%  Function: ^formatRaw node:internal/util/inspect:796:19
      2    0.1%    0.1%  Function: ^Readable.read node:internal/streams/readable:394:35
      1    0.0%    0.0%  RegExp: ^\/login\/?$
      1    0.0%    0.0%  RegExp: ^\/failedsignup\/?$
      1    0.0%    0.0%  RegExp: ^[a-zA-Z_][a-zA-Z_0-9]*$
      1    0.0%    0.0%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+\/[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      1    0.0%    0.0%  RegExp: [^\t\x20-\x7e\x80-\xff]
      1    0.0%    0.0%  RegExp: =+$
      1    0.0%    0.0%  RegExp: ; *([!#$%&'*+.^_`|~0-9A-Za-z-]+) *= *("(?:[\u000b\u0020\u0021\u0023-\u005b\u005d-\u007e\u0080-\u00ff]|\\[\u000b\u0020-\u00ff])*"|[!#$%&'*+.^_`|~0-9A-Za-z-]+) *
      1    0.0%    0.0%  RegExp: (?:^|\W)chunked(?:$|\W)
      1    0.0%    0.0%  LazyCompile: *getColorDepth node:internal/tty:106:23
      1    0.0%    0.0%  LazyCompile: *get node:internal/console/constructor:202:14
      1    0.0%    0.0%  LazyCompile: *formatProperty node:internal/util/inspect:1672:24
